name_zh,name_en,name_ja,has_in_game_screenshot,width,height,filesize,target_media_file,local_filename,local_rel_path,image_url
水藍色馬賽克磚地板,Aqua tile flooring,みずいろモザイクタイルのゆか,True,1280,720,245000,File:Aqua Tile Flooring NH Screenshot.jpg,水藍色馬賽克磚地板_Aqua_tile_flooring.jpg,images/floors/水藍色馬賽克磚地板_Aqua_tile_flooring.jpg,https://dodo.ac/np/images/3/32/Aqua_Tile_Flooring_NH_Screenshot.jpg
阿拉伯式地板,Arabesque flooring,アラベスクなゆか,True,1280,720,232281,File:Arabesque Flooring NH Screenshot.jpg,阿拉伯式地板_Arabesque_flooring.jpg,images/floors/阿拉伯式地板_Arabesque_flooring.jpg,https://dodo.ac/np/images/f/f0/Arabesque_Flooring_NH_Screenshot.jpg
弧形磚塊地板,Arched-brick flooring,アーチレンガのゆか,True,1280,720,274811,File:Arched-Brick Flooring NH Screenshot.jpg,弧形磚塊地板_Arched-brick_flooring.jpg,images/floors/弧形磚塊地板_Arched-brick_flooring.jpg,https://dodo.ac/np/images/8/80/Arched-Brick_Flooring_NH_Screenshot.jpg
菱格紋磚地板,Argyle tile flooring,アーガイルなタイルのゆか,True,1280,720,243741,File:Argyle Tile Flooring NH Screenshot.jpg,菱格紋磚地板_Argyle_tile_flooring.jpg,images/floors/菱格紋磚地板_Argyle_tile_flooring.jpg,https://dodo.ac/np/images/6/6d/Argyle_Tile_Flooring_NH_Screenshot.jpg
藝術嵌木地板,Artsy parquet flooring,アートなよせぎざいくのゆか,True,1280,720,304706,File:Artsy Parquet Flooring NH Screenshot.jpg,藝術嵌木地板_Artsy_parquet_flooring.jpg,images/floors/藝術嵌木地板_Artsy_parquet_flooring.jpg,https://dodo.ac/np/images/1/14/Artsy_Parquet_Flooring_NH_Screenshot.jpg
草坪地板,Backyard lawn,しばふのゆか,True,1280,720,370146,File:Backyard Lawn NH Screenshot.jpg,草坪地板_Backyard_lawn.jpg,images/floors/草坪地板_Backyard_lawn.jpg,https://dodo.ac/np/images/0/05/Backyard_Lawn_NH_Screenshot.jpg
竹子地板,Bamboo flooring,バンブーなゆか,True,1280,720,227187,File:Bamboo Flooring NH Screenshot.jpg,竹子地板_Bamboo_flooring.jpg,images/floors/竹子地板_Bamboo_flooring.jpg,https://dodo.ac/np/images/d/dc/Bamboo_Flooring_NH_Screenshot.jpg
地下室地板,Basement flooring,ちかしつのゆか,True,1280,720,198806,File:Basement Flooring NH Screenshot.jpg,地下室地板_Basement_flooring.jpg,images/floors/地下室地板_Basement_flooring.jpg,https://dodo.ac/np/images/1/11/Basement_Flooring_NH_Screenshot.jpg
米色摩洛哥磚地板,Beige Moroccan flooring,ベージュのモロッカンタイルゆか,True,1280,720,321030,File:Beige Moroccan Flooring NH Screenshot.jpg,米色摩洛哥磚地板_Beige_Moroccan_flooring.jpg,images/floors/米色摩洛哥磚地板_Beige_Moroccan_flooring.jpg,https://dodo.ac/np/images/0/07/Beige_Moroccan_Flooring_NH_Screenshot.jpg
草莓巧克力地板,Berry-chocolates flooring,いちごチョコアソートなゆか,True,1280,720,224746,File:Berry-Chocolates Flooring NH Screenshot.jpg,草莓巧克力地板_Berry-chocolates_flooring.jpg,images/floors/草莓巧克力地板_Berry-chocolates_flooring.jpg,https://dodo.ac/np/images/9/97/Berry-Chocolates_Flooring_NH_Screenshot.jpg
原木地板,Birch flooring,しらきのフローリング,True,1280,720,177720,File:Birch Flooring NH Screenshot.jpg,原木地板_Birch_flooring.jpg,images/floors/原木地板_Birch_flooring.jpg,https://dodo.ac/np/images/c/c3/Birch_Flooring_NH_Screenshot.jpg
黑色鑄鐵拼花地板,Black iron-parquet flooring,くろいアイアンパーケットのゆか,True,1280,720,176015,File:Black Iron-Parquet Flooring NH Screenshot.jpg,黑色鑄鐵拼花地板_Black_iron-parquet_flooring.jpg,images/floors/黑色鑄鐵拼花地板_Black_iron-parquet_flooring.jpg,https://dodo.ac/np/images/2/28/Black_Iron-Parquet_Flooring_NH_Screenshot.jpg
黑色磚塊地板,Black-brick flooring,くろレンガのゆか,True,1280,720,185077,File:Black-Brick Flooring NH Screenshot.jpg,黑色磚塊地板_Black-brick_flooring.jpg,images/floors/黑色磚塊地板_Black-brick_flooring.jpg,https://dodo.ac/np/images/d/d5/Black-Brick_Flooring_NH_Screenshot.jpg
超級瑪利歐地板,Block flooring,スーパーマリオのゆか,True,1280,720,394499,File:Block Flooring NH Screenshot.jpg,超級瑪利歐地板_Block_flooring.jpg,images/floors/超級瑪利歐地板_Block_flooring.jpg,https://dodo.ac/np/images/0/0f/Block_Flooring_NH_Screenshot.jpg
藍色迷彩地板,Blue camo flooring,ブルーめいさいのゆか,True,1280,720,263249,File:Blue Camo Flooring NH Screenshot.jpg,藍色迷彩地板_Blue_camo_flooring.jpg,images/floors/藍色迷彩地板_Blue_camo_flooring.jpg,https://dodo.ac/np/images/b/b5/Blue_Camo_Flooring_NH_Screenshot.jpg
藍色點點地板,Blue dot flooring,ブルードットカーペット,True,1280,720,205129,File:Blue Dot Flooring NH Screenshot.jpg,藍色點點地板_Blue_dot_flooring.jpg,images/floors/藍色點點地板_Blue_dot_flooring.jpg,https://dodo.ac/np/images/c/c9/Blue_Dot_Flooring_NH_Screenshot.jpg
藍色花朵地板,Blue floral flooring,あおいフラワーフローリング,True,1280,720,263590,File:Blue Floral Flooring NH Screenshot.jpg,藍色花朵地板_Blue_floral_flooring.jpg,images/floors/藍色花朵地板_Blue_floral_flooring.jpg,https://dodo.ac/np/images/a/aa/Blue_Floral_Flooring_NH_Screenshot.jpg
