name_zh,name_en,name_ja,local_filename,image_url
飛機牆,Airplane wall,ひこうきのかべ,飛機牆_Airplane_wall.png,https://dodo.ac/np/images/f/f3/Airplane_Wall_NH_Icon.png
古董磚塊牆,Antique brick wall,アンティークレンガのかべ,古董磚塊牆_Antique_brick_wall.png,https://dodo.ac/np/images/4/41/Antique_Brick_Wall_NH_Icon.png
服裝店牆,Apparel-shop wall,アパレルショップのかべ,服裝店牆_Apparel-shop_wall.png,https://dodo.ac/np/images/6/63/Apparel-Shop_Wall_NH_Icon.png
澡堂牆,Bathhouse wall,せんとうのかべ,澡堂牆_Bathhouse_wall.png,https://dodo.ac/np/images/8/86/Bathhouse_Wall_NH_Icon.png
歐式黑牆,Black European-style wall,ヨーロピアンスタイルのくろかべ,歐式黑牆_Black_European-style_wall.png,https://dodo.ac/np/images/1/11/Black_European-Style_Wall_NH_Icon.png
黑色窗臺牆,Black window-panel wall,くろいまどべのかべ,黑色窗臺牆_Black_window-panel_wall.png,https://dodo.ac/np/images/a/a1/Black_Window-Panel_Wall_NH_Icon.png
藍色摩洛哥塗牆,Blue Moroccan-style wall,ブルーのモロッカンなぬりかべ,藍色摩洛哥塗牆_Blue_Moroccan-style_wall.png,https://dodo.ac/np/images/0/04/Blue_Moroccan-Style_Wall_NH_Icon.png
磚塊庭園牆,Brick garden wall,レンガのにわかべ,磚塊庭園牆_Brick_garden_wall.png,https://dodo.ac/np/images/3/32/Brick_Garden_Wall_NH_Icon.png
蠟燭牆,Candles wall,ろうそくのかべ,蠟燭牆_Candles_wall.png,https://dodo.ac/np/images/1/17/Candles_Wall_NH_Icon.png
LEGO®牆・典雅,Chic LEGO® wall,LEGO®のかべ・シック,LEGO牆・典雅_Chic_LEGO_wall.png,https://dodo.ac/np/images/6/65/Chic_LEGO%C2%AE_Wall_NH_Icon.png
馬戲團牆,Circus wall,サーカスのかべ,馬戲團牆_Circus_wall.png,https://dodo.ac/np/images/9/97/Circus_Wall_NH_Icon.png
俱樂部牆,Club wall,クラブのかべ,俱樂部牆_Club_wall.png,https://dodo.ac/np/images/3/3c/Club_Wall_NH_Icon.png
咖啡廳牆,Coffee-shop wall,コーヒーショップのかべ,咖啡廳牆_Coffee-shop_wall.png,https://dodo.ac/np/images/5/55/Coffee-Shop_Wall_NH_Icon.png
LEGO®牆・彩色,Colorful LEGO® wall,LEGO®のかべ・カラフル,LEGO牆・彩色_Colorful_LEGO_wall.png,https://dodo.ac/np/images/f/f4/Colorful_LEGO%C2%AE_Wall_NH_Icon.png
店鋪牆,Concession-stand wall,ばいてんのかべ,店鋪牆_Concession-stand_wall.png,https://dodo.ac/np/images/e/ea/Concession-Stand_Wall_NH_Icon.png
LEGO®牆・可愛,Cute LEGO® wall,LEGO®のかべ・キュート,LEGO牆・可愛_Cute_LEGO_wall.png,https://dodo.ac/np/images/3/30/Cute_LEGO%C2%AE_Wall_NH_Icon.png
