title,name_en,name_zh,name_ja,has_in_game_screenshot,target_media_file,local_filename,image_url,width,height,filesize,local_rel_path,grid_size,size_category,size_label
Item:Acorn rug (New Horizons),Acorn rug,橡栗地毯,どんぐりのラグ,False,File:Acorn_Rug_NH_Icon.png,橡栗地毯_Acorn_rug.png,https://dodo.ac/np/images/1/1e/Acorn_Rug_NH_Icon.png,128,128,9983,images/rugs/橡栗地毯_Acorn_rug.webp,3.0 × 3.0,M,中型 (M)
Item:Aluminum rug (New Horizons),Aluminum rug,鋁箔地墊,アルミマット,False,File:Aluminum_Rug_NH_Icon.png,鋁箔地墊_Aluminum_rug.png,https://dodo.ac/np/images/0/0a/Aluminum_Rug_NH_Icon.png,128,128,7064,images/rugs/鋁箔地墊_Aluminum_rug.webp,3.0 × 2.0,M,中型 (M)
Item:Apple rug (New Horizons),Apple rug,蘋果地毯,リンゴのラグ,False,File:Apple_Rug_NH_Icon.png,蘋果地毯_Apple_rug.png,https://dodo.ac/np/images/6/6f/Apple_Rug_NH_Icon.png,128,128,8536,images/rugs/蘋果地毯_Apple_rug.webp,3.0 × 3.0,M,中型 (M)
Item:Bell-bag rug (New Horizons),Bell-bag rug,鈴錢袋地毯,ベルぶくろのラグ,False,File:Bell-Bag_Rug_NH_Icon.png,鈴錢袋地毯_Bell-bag_rug.png,https://dodo.ac/np/images/e/eb/Bell-Bag_Rug_NH_Icon.png,128,128,9017,images/rugs/鈴錢袋地毯_Bell-bag_rug.webp,3.0 × 3.0,M,中型 (M)
Item:Black blocks rug (New Horizons),Black blocks rug,灰階配色磚塊地毯,モノクロブロックのラグ,False,File:Black_Blocks_Rug_NH_Icon.png,灰階配色磚塊地毯_Black_blocks_rug.png,https://dodo.ac/np/images/0/0e/Black_Blocks_Rug_NH_Icon.png,128,128,11890,images/rugs/灰階配色磚塊地毯_Black_blocks_rug.webp,3.0 × 3.0,M,中型 (M)
Item:Black wooden-deck rug (New Horizons),Black wooden-deck rug,黑色木甲板地毯,くろいウッドデッキのラグ,False,File:Black_Wooden-Deck_Rug_NH_Icon.png,黑色木甲板地毯_Black_wooden-deck_rug.png,https://dodo.ac/np/images/b/be/Black_Wooden-Deck_Rug_NH_Icon.png,128,128,9881,images/rugs/黑色木甲板地毯_Black_wooden-deck_rug.webp,3.0 × 2.0,M,中型 (M)
Item:Black-design kitchen mat (New Horizons),Black-design kitchen mat,黑色圖案廚房地墊,くろいパターンキッチンマット,False,File:Black-Design_Kitchen_Mat_NH_Icon.png,黑色圖案廚房地墊_Black-design_kitchen_mat.png,https://dodo.ac/np/images/4/41/Black-Design_Kitchen_Mat_NH_Icon.png,128,128,9133,images/rugs/黑色圖案廚房地墊_Black-design_kitchen_mat.webp,2.0 × 1.0,S,小型 (S)
Item:Blue argyle rug (New Horizons),Blue argyle rug,藍色菱格紋地毯,あおいアーガイルのラグ,False,File:Blue_Argyle_Rug_NH_Icon.png,藍色菱格紋地毯_Blue_argyle_rug.png,https://dodo.ac/np/images/2/2f/Blue_Argyle_Rug_NH_Icon.png,128,128,10637,images/rugs/藍色菱格紋地毯_Blue_argyle_rug.webp,4.0 × 3.0,L,大型 (L)
Item:Blue blocks rug (New Horizons),Blue blocks rug,藍色磚塊地毯,あおブロックのラグ,False,File:Blue_Blocks_Rug_NH_Icon.png,藍色磚塊地毯_Blue_blocks_rug.png,https://dodo.ac/np/images/8/87/Blue_Blocks_Rug_NH_Icon.png,128,128,12858,images/rugs/藍色磚塊地毯_Blue_blocks_rug.webp,3.0 × 3.0,M,中型 (M)
Item:Blue dotted rug (New Horizons),Blue dotted rug,藍色點點地墊,ブルードットのラグ,False,File:Blue_Dotted_Rug_NH_Icon.png,藍色點點地墊_Blue_dotted_rug.png,https://dodo.ac/np/images/6/6a/Blue_Dotted_Rug_NH_Icon.png,128,128,10633,images/rugs/藍色點點地墊_Blue_dotted_rug.webp,4.0 × 3.0,L,大型 (L)
Item:Blue exercise mat (New Horizons),Blue exercise mat,藍色體操墊,あおいたいそうマット,False,File:Blue_Exercise_Mat_NH_Icon.png,藍色體操墊_Blue_exercise_mat.png,https://dodo.ac/np/images/2/21/Blue_Exercise_Mat_NH_Icon.png,128,128,8783,images/rugs/藍色體操墊_Blue_exercise_mat.webp,3.0 × 2.0,M,中型 (M)
Item:Blue Hawaiian quilt rug (New Horizons),Blue Hawaiian quilt rug,藍色夏威夷拼布地毯,あおいハワイアンキルトのラグ,False,File:Blue_Hawaiian_Quilt_Rug_NH_Icon.png,藍色夏威夷拼布地毯_Blue_Hawaiian_quilt_rug.png,https://dodo.ac/np/images/6/60/Blue_Hawaiian_Quilt_Rug_NH_Icon.png,128,128,11664,images/rugs/藍色夏威夷拼布地毯_Blue_Hawaiian_quilt_rug.webp,4.0 × 4.0,L,大型 (L)
Item:Blue kilim-style carpet (New Horizons),Blue kilim-style carpet,藍色基裡姆地毯,あおいキリムのカーペット,False,File:Blue_Kilim-Style_Carpet_NH_Icon.png,藍色基裡姆地毯_Blue_kilim-style_carpet.png,https://dodo.ac/np/images/6/63/Blue_Kilim-Style_Carpet_NH_Icon.png,128,128,13219,images/rugs/藍色基裡姆地毯_Blue_kilim-style_carpet.webp,5.0 × 5.0,L,大型 (L)
Item:Blue kitchen mat (New Horizons),Blue kitchen mat,藍色廚房地墊,あおいキッチンマット,False,File:Blue_Kitchen_Mat_NH_Icon.png,藍色廚房地墊_Blue_kitchen_mat.png,https://dodo.ac/np/images/e/ee/Blue_Kitchen_Mat_NH_Icon.png,128,128,9563,images/rugs/藍色廚房地墊_Blue_kitchen_mat.webp,2.0 × 1.0,S,小型 (S)
Item:Blue medium round mat (New Horizons),Blue medium round mat,中型藍色圓地墊,あおいラウンドマット・M,False,File:Blue_Medium_Round_Mat_NH_Icon.png,中型藍色圓地墊_Blue_medium_round_mat.png,https://dodo.ac/np/images/6/62/Blue_Medium_Round_Mat_NH_Icon.png,128,128,8005,images/rugs/中型藍色圓地墊_Blue_medium_round_mat.webp,3.0 × 3.0,M,中型 (M)
Item:Blue message mat (New Horizons),Blue message mat,藍色訊息地墊,あおいメッセージマット,False,File:Blue_Message_Mat_NH_Icon.png,藍色訊息地墊_Blue_message_mat.png,https://dodo.ac/np/images/b/b0/Blue_Message_Mat_NH_Icon.png,128,128,8193,images/rugs/藍色訊息地墊_Blue_message_mat.webp,2.0 × 1.0,S,小型 (S)
Item:Blue Persian rug (New Horizons),Blue Persian rug,藍色波斯地毯,あおいペルシャじゅうたん,False,File:Blue_Persian_Rug_NH_Icon.png,藍色波斯地毯_Blue_Persian_rug.png,https://dodo.ac/np/images/a/a2/Blue_Persian_Rug_NH_Icon.png,128,128,14085,images/rugs/藍色波斯地毯_Blue_Persian_rug.webp,5.0 × 5.0,L,大型 (L)
Item:Blue shaggy rug (New Horizons),Blue shaggy rug,藍色長毛地毯,あおいシャギーなラグ,False,File:Blue_Shaggy_Rug_NH_Icon.png,藍色長毛地毯_Blue_shaggy_rug.png,https://dodo.ac/np/images/8/84/Blue_Shaggy_Rug_NH_Icon.png,128,128,12016,images/rugs/藍色長毛地毯_Blue_shaggy_rug.webp,5.0 × 5.0,L,大型 (L)
