title,name_en,name_zh,name_zht,name_zhs,name_ja,has_in_game_screenshot,target_media_file,local_filename,local_rel_path,image_url,width,height,filesize
Item:Abstract wall (New Horizons),Abstract wall,抽象藝術牆,抽象藝術牆,抽象艺术墙,アブストラクトなかべ,True,File:Abstract Wall NH Screenshot.jpg,抽象藝術牆_Abstract_wall.jpg,images/wallpapers/抽象藝術牆_Abstract_wall.webp,https://dodo.ac/np/images/b/bb/Abstract_Wall_NH_Screenshot.jpg,1280,720,199117
Item:Airplane wall (New Horizons),Airplane wall,飛機牆,飞机墙,飛機牆,ひこうきのかべ,False,File:Airplane_Wall_NH_Icon.png,飛機牆_Airplane_wall.png,images/wallpapers/飛機牆_Airplane_wall.webp,https://dodo.ac/np/images/f/f3/Airplane_Wall_NH_Icon.png,128,128,17091
Item:Ancient wall (New Horizons),Ancient wall,埃及牆,埃及牆,埃及墙,エジプトなかべ,True,File:Ancient Wall NH Screenshot.jpg,埃及牆_Ancient_wall.jpg,images/wallpapers/埃及牆_Ancient_wall.webp,https://dodo.ac/np/images/4/48/Ancient_Wall_NH_Screenshot.jpg,1280,720,291963
Item:Antique brick wall (New Horizons),Antique brick wall,古董磚塊牆,古董砖块墙,古董磚塊牆,アンティークレンガのかべ,False,File:Antique_Brick_Wall_NH_Icon.png,古董磚塊牆_Antique_brick_wall.png,images/wallpapers/古董磚塊牆_Antique_brick_wall.webp,https://dodo.ac/np/images/4/41/Antique_Brick_Wall_NH_Icon.png,128,128,18548
Item:Apparel-shop wall (New Horizons),Apparel-shop wall,服裝店牆,服装店墙,服裝店牆,アパレルショップのかべ,False,File:Apparel-Shop_Wall_NH_Icon.png,服裝店牆_Apparel-shop_wall.png,images/wallpapers/服裝店牆_Apparel-shop_wall.webp,https://dodo.ac/np/images/6/63/Apparel-Shop_Wall_NH_Icon.png,128,128,21891
Item:Apple wall (New Horizons),Apple wall,蘋果壁紙,蘋果壁紙,苹果壁纸,リンゴのかべがみ,True,File:Apple Wall NH Screenshot.jpg,蘋果壁紙_Apple_wall.jpg,images/wallpapers/蘋果壁紙_Apple_wall.webp,https://dodo.ac/np/images/f/fc/Apple_Wall_NH_Screenshot.jpg,1280,720,204060
Item:Aqua tile wall (New Horizons),Aqua tile wall,水藍色磚牆,水藍色磚牆,水蓝色砖墙,みずいろタイルのかべ,True,File:Aqua Tile Wall NH Screenshot.jpg,水藍色磚牆_Aqua_tile_wall.jpg,images/wallpapers/水藍色磚牆_Aqua_tile_wall.webp,https://dodo.ac/np/images/4/4f/Aqua_Tile_Wall_NH_Screenshot.jpg,1280,720,221298
Item:Arched-window wall (New Horizons),Arched-window wall,美麗玻璃牆,美麗玻璃牆,美丽玻璃墙,きれいなガラスのかべ,True,File:Arched-Window Wall NH Screenshot.jpg,美麗玻璃牆_Arched-window_wall.jpg,images/wallpapers/美麗玻璃牆_Arched-window_wall.webp,https://dodo.ac/np/images/4/45/Arched-Window_Wall_NH_Screenshot.jpg,1280,720,252323
Item:Aurora wall (New Horizons),Aurora wall,極光牆,極光牆,极光墙,オーロラのかべ,True,File:Aurora Wall NH Screenshot.jpg,極光牆_Aurora_wall.jpg,images/wallpapers/極光牆_Aurora_wall.webp,https://dodo.ac/np/images/9/94/Aurora_Wall_NH_Screenshot.jpg,1280,720,170535
Item:Autumn wall (New Horizons),Autumn wall,楓葉牆,楓葉牆,枫叶墙,こうようのかべ,True,File:Autumn Tile Wall NH Screenshot.jpg,楓葉牆_Autumn_wall.jpg,images/wallpapers/楓葉牆_Autumn_wall.webp,https://dodo.ac/np/images/5/53/Autumn_Tile_Wall_NH_Screenshot.jpg,1280,720,285610
